ID,ComplaintID,ComplaintStatusID,StatusDate
214,10185,9,25-09-18
128,10186,1,18-09-18
264,10186,9,26-09-18
131,10187,1,19-09-18
323,10187,9,28-09-18
132,10188,2,19-09-18
205,10188,1,24-09-18
208,10188,9,24-09-18
133,10189,1,13-09-18
134,10189,4,19-09-18
143,10189,9,20-09-18
137,10190,2,20-09-18
240,10190,9,26-09-18
140,10191,2,20-09-18
242,10191,1,26-09-18
287,10191,9,27-09-18
142,10192,1,18-09-18
219,10192,4,25-09-18
380,10192,1,03-10-18
513,10192,3,12-10-18
518,10192,4,15-10-18
527,10192,9,15-10-18
144,10193,2,20-09-18
244,10193,1,26-09-18
270,10193,9,27-09-18
148,10194,2,20-09-18
245,10194,1,26-09-18
285,10194,9,27-09-18
166,10195,1,20-09-18
167,10195,4,21-09-18
268,10195,1,27-09-18
269,10195,9,27-09-18
169,10196,1,20-09-18
170,10196,3,21-09-18
331,10196,9,28-09-18
172,10197,1,19-09-18
182,10197,4,24-09-18
183,10197,1,24-09-18
184,10197,9,24-09-18
176,10198,2,14-09-18
202,10198,9,24-09-18
177,10199,1,21-09-18
189,10199,9,24-09-18
178,10200,1,21-09-18
179,10200,4,24-09-18
212,10200,9,25-09-18
180,10201,2,24-09-18
246,10201,1,26-09-18
291,10201,9,27-09-18
181,10202,2,24-09-18
247,10202,1,26-09-18
284,10202,9,27-09-18
185,10203,2,24-09-18
295,10203,9,27-09-18
186,10204,2,24-09-18
248,10204,1,26-09-18
283,10204,9,27-09-18
187,10205,2,24-09-18
249,10205,1,26-09-18
282,10205,9,27-09-18
190,10206,2,24-09-18
250,10206,1,26-09-18
281,10206,9,27-09-18
191,10207,1,21-09-18
271,10207,3,27-09-18
522,10207,9,15-10-18
192,10208,2,24-09-18
251,10208,1,26-09-18
280,10208,9,27-09-18
193,10209,2,24-09-18
337,10209,9,28-09-18
194,10210,2,24-09-18
252,10210,1,26-09-18
279,10210,9,27-09-18
195,10211,2,24-09-18
253,10211,1,26-09-18
278,10211,9,27-09-18
206,10212,2,24-09-18
213,10212,9,25-09-18
211,10213,1,24-09-18
218,10213,9,25-09-18
215,10214,1,24-09-18
230,10214,9,25-09-18
216,10215,1,25-09-18
217,10215,4,25-09-18
220,10215,1,25-09-18
221,10215,9,25-09-18
223,10216,2,25-09-18
312,10216,1,27-09-18
330,10216,9,28-09-18
225,10217,2,25-09-18
254,10217,1,26-09-18
277,10217,9,27-09-18
226,10218,1,25-09-18
228,10218,4,25-09-18
229,10218,3,25-09-18
648,10218,4,22-10-18
650,10218,1,22-10-18
665,10218,9,23-10-18
227,10219,2,25-09-18
255,10219,1,26-09-18
276,10219,9,27-09-18
232,10220,2,25-09-18
256,10220,1,26-09-18
275,10220,9,27-09-18
233,10221,2,25-09-18
243,10221,1,26-09-18
286,10221,9,27-09-18
234,10222,2,25-09-18
257,10222,1,26-09-18
288,10222,9,27-09-18
235,10223,2,25-09-18
258,10223,1,26-09-18
274,10223,9,27-09-18
236,10224,2,25-09-18
259,10224,1,26-09-18
273,10224,9,27-09-18
237,10225,2,25-09-18
262,10225,9,26-09-18
238,10226,2,25-09-18
260,10226,1,26-09-18
272,10226,9,27-09-18
239,10227,1,25-09-18
241,10227,9,26-09-18
267,10228,2,26-09-18
294,10228,1,27-09-18
322,10228,9,28-09-18
290,10229,2,27-09-18
292,10229,9,27-09-18
296,10230,1,27-09-18
298,10230,4,27-09-18
300,10230,9,27-09-18
301,10231,2,27-09-18
314,10231,1,27-09-18
329,10231,9,28-09-18
302,10232,2,27-09-18
315,10232,1,27-09-18
328,10232,9,28-09-18
303,10233,2,27-09-18
316,10233,1,27-09-18
353,10233,9,02-10-18
304,10234,2,27-09-18
318,10234,1,28-09-18
327,10234,9,28-09-18
305,10235,2,27-09-18
319,10235,1,28-09-18
326,10235,9,28-09-18
306,10236,1,26-09-18
317,10236,4,28-09-18
401,10236,9,05-10-18
307,10237,2,27-09-18
320,10237,1,28-09-18
325,10237,9,28-09-18
308,10238,2,27-09-18
321,10238,1,28-09-18
324,10238,9,28-09-18
309,10239,2,27-09-18
313,10239,9,27-09-18
310,10240,1,27-09-18
311,10240,4,27-09-18
449,10240,1,09-10-18
466,10240,9,09-10-18
335,10241,1,28-09-18
336,10241,4,28-09-18
427,10241,1,08-10-18
434,10241,9,08-10-18
339,10242,1,01-10-18
340,10242,4,01-10-18
344,10242,1,01-10-18
352,10242,9,02-10-18
342,10243,1,01-10-18
343,10243,3,01-10-18
426,10243,4,08-10-18
1567,10243,9,20-12-18
345,10248,1,01-10-18
359,10248,4,02-10-18
368,10248,9,02-10-18
347,10249,1,01-10-18
348,10249,9,01-10-18
349,10250,1,01-10-18
358,10250,9,02-10-18
350,10252,1,01-10-18
351,10252,9,01-10-18
354,10253,1,02-10-18
355,10253,9,02-10-18
356,10254,2,02-10-18
370,10254,1,03-10-18
388,10254,9,03-10-18
357,10255,2,02-10-18
371,10255,9,03-10-18
360,10256,2,02-10-18
372,10256,1,03-10-18
387,10256,9,03-10-18
361,10257,2,02-10-18
377,10257,9,03-10-18
362,10258,2,02-10-18
374,10258,1,03-10-18
386,10258,9,03-10-18
363,10259,2,02-10-18
369,10259,1,03-10-18
379,10259,9,03-10-18
364,10260,2,02-10-18
375,10260,1,03-10-18
384,10260,9,03-10-18
365,10261,1,02-10-18
367,10261,9,02-10-18
366,10262,2,02-10-18
376,10262,1,03-10-18
385,10262,9,03-10-18
381,10263,1,03-10-18
383,10263,4,03-10-18
419,10263,9,05-10-18
382,10264,1,03-10-18
389,10264,4,03-10-18
578,10264,3,17-10-18
942,10264,4,05-11-18
1153,10264,1,19-11-18
1161,10264,3,20-11-18
1175,10264,9,20-11-18
390,10265,1,03-10-18
443,10265,9,09-10-18
474,10265,1,10-10-18
514,10265,3,12-10-18
938,10265,9,05-11-18
391,10266,1,04-10-18
392,10266,4,04-10-18
688,10266,1,23-10-18
704,10266,9,23-10-18
395,10267,1,19-09-18
421,10267,9,08-10-18
396,10268,1,11-09-18
397,10268,4,04-10-18
438,10268,9,09-10-18
398,10269,2,04-10-18
403,10269,1,05-10-18
411,10269,9,05-10-18
399,10270,2,04-10-18
405,10270,1,05-10-18
410,10270,9,05-10-18
400,10271,2,04-10-18
408,10271,1,05-10-18
409,10271,9,05-10-18
402,10272,1,04-10-18
412,10272,9,05-10-18
404,10273,1,04-10-18
424,10273,4,08-10-18
432,10273,1,08-10-18
553,10273,9,16-10-18
406,10274,1,05-10-18
407,10274,4,05-10-18
577,10274,3,17-10-18
660,10274,9,22-10-18
413,10275,1,05-10-18
414,10275,4,05-10-18
481,10275,1,10-10-18
485,10275,4,10-10-18
686,10275,3,23-10-18
800,10275,4,29-10-18
852,10275,9,30-10-18
415,10276,1,05-10-18
416,10276,4,05-10-18
724,10276,1,24-10-18
726,10276,9,24-10-18
417,10277,1,04-10-18
418,10277,4,05-10-18
484,10277,9,10-10-18
420,10278,2,05-10-18
425,10278,4,08-10-18
428,10278,9,08-10-18
422,10279,1,05-10-18
423,10279,4,08-10-18
602,10279,9,18-10-18
429,10280,1,08-10-18
430,10280,4,08-10-18
817,10280,9,29-10-18
431,10281,1,08-10-18
445,10281,4,09-10-18
447,10281,3,09-10-18
661,10281,9,22-10-18
435,10282,1,05-10-18
437,10282,4,09-10-18
611,10282,1,18-10-18
613,10282,9,18-10-18
436,10283,1,08-10-18
477,10283,9,10-10-18
439,10284,2,09-10-18
451,10284,1,09-10-18
459,10284,9,09-10-18
441,10285,2,09-10-18
452,10285,1,09-10-18
471,10285,9,10-10-18
442,10286,2,09-10-18
453,10286,1,09-10-18
470,10286,9,10-10-18
444,10287,2,09-10-18
464,10287,9,09-10-18
446,10288,2,09-10-18
465,10288,1,09-10-18
473,10288,9,10-10-18
448,10289,2,09-10-18
469,10289,1,09-10-18
476,10289,9,10-10-18
450,10290,1,09-10-18
462,10290,4,09-10-18
519,10290,1,15-10-18
526,10290,4,15-10-18
596,10290,1,17-10-18
615,10290,3,18-10-18
645,10290,9,22-10-18
454,10291,2,09-10-18
463,10291,1,09-10-18
475,10291,9,10-10-18
455,10292,1,08-10-18
457,10292,4,09-10-18
1041,10292,9,12-11-18
456,10293,2,09-10-18
460,10293,1,09-10-18
472,10293,9,10-10-18
458,10294,1,09-10-18
461,10294,4,09-10-18
601,10294,1,18-10-18
617,10294,3,18-10-18
830,10294,4,30-10-18
917,10294,3,02-11-18
922,10294,9,02-11-18
468,10295,1,09-10-18
483,10295,4,10-10-18
1323,10295,9,04-12-18
480,10296,1,10-10-18
597,10296,4,17-10-18
600,10296,1,18-10-18
629,10296,4,19-10-18
775,10296,1,26-10-18
786,10296,9,26-10-18
486,10297,1,01-10-18
720,10297,3,24-10-18
795,10297,4,29-10-18
796,10297,3,29-10-18
825,10297,4,30-10-18
829,10297,9,30-10-18
490,10298,1,10-10-18
529,10298,9,15-10-18
491,10299,1,10-10-18
528,10299,9,15-10-18
492,10300,1,11-10-18
530,10300,2,15-10-18
532,10300,1,15-10-18
583,10300,9,17-10-18
493,10301,2,11-10-18
497,10301,1,11-10-18
500,10301,9,12-10-18
494,10302,2,11-10-18
496,10302,4,11-10-18
512,10302,9,12-10-18
498,10303,1,11-10-18
501,10303,9,12-10-18
499,10304,1,11-10-18
502,10304,9,12-10-18
503,10305,1,11-10-18
504,10305,9,12-10-18
505,10306,1,04-10-18
506,10306,9,12-10-18
507,10307,1,11-10-18
619,10307,3,18-10-18
773,10307,9,26-10-18
508,10308,1,12-10-18
509,10308,4,12-10-18
540,10308,1,15-10-18
545,10308,4,15-10-18
687,10308,1,23-10-18
805,10308,3,29-10-18
935,10308,9,02-11-18
510,10309,1,12-10-18
511,10309,4,12-10-18
541,10309,1,15-10-18
546,10309,4,15-10-18
633,10309,1,19-10-18
636,10309,4,19-10-18
707,10309,1,23-10-18
727,10309,3,24-10-18
950,10309,4,06-11-18
1071,10309,9,14-11-18
516,10310,1,12-10-18
603,10310,9,18-10-18
520,10311,2,15-10-18
534,10311,1,15-10-18
584,10311,9,17-10-18
521,10312,2,15-10-18
535,10312,4,15-10-18
593,10312,9,17-10-18
523,10313,2,15-10-18
543,10313,9,15-10-18
524,10314,2,15-10-18
537,10314,1,15-10-18
586,10314,9,17-10-18
531,10315,2,15-10-18
538,10315,1,15-10-18
587,10315,9,17-10-18
533,10316,2,15-10-18
539,10316,4,15-10-18
562,10316,1,16-10-18
590,10316,9,17-10-18
536,10317,2,15-10-18
542,10317,4,15-10-18
798,10317,9,29-10-18
544,10318,1,12-10-18
547,10318,4,15-10-18
548,10318,1,15-10-18
862,10318,3,31-10-18
1178,10318,4,21-11-18
1339,10318,1,05-12-18
1340,10318,9,05-12-18
550,10319,1,15-10-18
630,10319,4,19-10-18
635,10319,1,19-10-18
638,10319,3,19-10-18
710,10319,9,24-10-18
551,10320,1,16-10-18
690,10320,4,23-10-18
1019,10320,9,09-11-18
552,10322,1,16-10-18
691,10322,4,23-10-18
1020,10322,9,09-11-18
554,10323,2,16-10-18
575,10323,9,16-10-18
555,10324,2,16-10-18
571,10324,4,16-10-18
741,10324,9,25-10-18
556,10325,2,16-10-18
572,10325,1,16-10-18
582,10325,9,17-10-18
557,10329,1,16-10-18
692,10329,4,23-10-18
1023,10329,9,09-11-18
558,10330,1,16-10-18
559,10330,4,16-10-18
614,10330,3,18-10-18
970,10330,4,07-11-18
1327,10330,9,04-12-18
560,10331,1,16-10-18
693,10331,4,23-10-18
1024,10331,9,09-11-18
561,10332,1,16-10-18
694,10332,4,23-10-18
1017,10332,9,09-11-18
563,10333,1,16-10-18
695,10333,4,23-10-18
1018,10333,9,09-11-18
564,10334,1,16-10-18
696,10334,4,23-10-18
1025,10334,9,09-11-18
565,10335,1,16-10-18
566,10335,4,16-10-18
828,10335,1,30-10-18
833,10335,3,30-10-18
1039,10335,9,12-11-18
567,10337,1,16-10-18
697,10337,4,23-10-18
1026,10337,9,09-11-18
568,10338,1,16-10-18
698,10338,4,23-10-18
1012,10338,9,09-11-18
569,10339,1,16-10-18
699,10339,4,23-10-18
1015,10339,9,09-11-18
570,10340,2,16-10-18
821,10340,1,29-10-18
826,10340,3,30-10-18
946,10340,9,05-11-18
573,10341,1,16-10-18
574,10341,4,16-10-18
723,10341,1,24-10-18
731,10341,9,24-10-18
576,10342,1,16-10-18
632,10342,4,19-10-18
711,10342,1,24-10-18
753,10342,3,25-10-18
861,10342,9,31-10-18
580,10343,1,04-09-18
581,10343,9,17-10-18
585,10344,1,17-10-18
588,10344,9,17-10-18
589,10345,1,16-10-18
591,10345,4,17-10-18
820,10345,1,29-10-18
863,10345,3,31-10-18
901,10345,9,01-11-18
592,10346,1,17-10-18
610,10346,4,18-10-18
706,10346,1,23-10-18
721,10346,3,24-10-18
793,10346,9,26-10-18
594,10347,1,16-10-18
595,10347,4,17-10-18
1287,10347,9,28-11-18
598,10348,1,17-10-18
612,10348,9,18-10-18
604,10349,1,17-10-18
700,10349,4,23-10-18
1013,10349,9,09-11-18
605,10350,1,18-10-18
701,10350,4,23-10-18
1021,10350,9,09-11-18
606,10351,1,17-10-18
702,10351,4,23-10-18
1022,10351,9,09-11-18
607,10352,1,17-10-18
703,10352,4,23-10-18
1014,10352,9,09-11-18
608,10353,1,18-10-18
609,10353,4,18-10-18
780,10353,1,26-10-18
884,10353,4,01-11-18
904,10353,1,01-11-18
1070,10353,3,14-11-18
1198,10353,9,22-11-18
616,10354,2,18-10-18
631,10354,1,19-10-18
639,10354,9,19-10-18
618,10355,2,18-10-18
634,10355,1,19-10-18
640,10355,9,19-10-18
621,10356,1,16-10-18
622,10356,4,19-10-18
708,10356,1,23-10-18
718,10356,3,24-10-18
748,10356,9,25-10-18
623,10357,1,18-10-18
624,10357,4,19-10-18
827,10357,3,30-10-18
1201,10357,9,22-11-18
625,10358,1,18-10-18
626,10358,4,19-10-18
689,10358,1,23-10-18
713,10358,9,24-10-18
628,10359,2,19-10-18
637,10359,1,19-10-18
641,10359,9,19-10-18
642,10360,1,19-10-18
646,10360,9,22-10-18
643,10361,1,19-10-18
810,10361,9,29-10-18
644,10362,1,19-10-18
809,10362,9,29-10-18
647,10363,1,18-10-18
1167,10363,3,20-11-18
1179,10363,9,21-11-18
651,10364,1,19-10-18
670,10364,3,23-10-18
774,10364,9,26-10-18
652,10365,1,22-10-18
705,10365,4,23-10-18
1027,10365,9,09-11-18
653,10366,2,22-10-18
658,10366,4,22-10-18
977,10366,9,08-11-18
654,10367,2,22-10-18
659,10367,9,22-10-18
655,10368,1,22-10-18
657,10368,4,22-10-18
722,10368,1,24-10-18
785,10368,3,26-10-18
1042,10368,4,12-11-18
1331,10368,9,04-12-18
656,10369,1,22-10-18
807,10369,9,29-10-18
662,10370,1,22-10-18
663,10370,9,23-10-18
666,10371,1,22-10-18
667,10371,4,23-10-18
808,10371,9,29-10-18
668,10372,1,22-10-18
669,10372,4,23-10-18
709,10372,9,23-10-18
671,10373,1,22-10-18
672,10373,4,23-10-18
816,10373,1,29-10-18
1131,10373,9,19-11-18
673,10374,2,23-10-18
712,10374,1,24-10-18
744,10374,9,25-10-18
674,10375,2,23-10-18
714,10375,1,24-10-18
739,10375,9,25-10-18
675,10376,2,23-10-18
715,10376,4,24-10-18
846,10376,9,30-10-18
676,10377,2,23-10-18
725,10377,9,24-10-18
677,10378,1,22-10-18
678,10378,4,23-10-18
3097,10378,1,14-03-19
3735,10378,4,28-03-19
3753,10378,1,28-03-19
3756,10378,3,28-03-19
4373,10378,9,08-04-19
679,10379,2,23-10-18
728,10379,9,24-10-18
680,10380,1,23-10-18
681,10380,4,23-10-18
789,10380,1,26-10-18
870,10380,4,31-10-18
1160,10380,1,20-11-18
1166,10380,9,20-11-18
682,10381,2,23-10-18
729,10381,1,24-10-18
743,10381,9,25-10-18
683,10382,2,23-10-18
730,10382,1,24-10-18
742,10382,9,25-10-18
684,10383,1,23-10-18
685,10383,4,23-10-18
735,10383,1,25-10-18
749,10383,9,25-10-18
716,10384,1,23-10-18
717,10384,4,24-10-18
719,10384,6,24-10-18
750,10384,1,25-10-18
751,10384,4,25-10-18
799,10384,1,29-10-18
819,10384,9,29-10-18
732,10385,1,24-10-18
752,10385,4,25-10-18
941,10385,3,05-11-18
969,10385,9,07-11-18
733,10386,1,24-10-18
869,10386,3,31-10-18
1259,10386,9,26-11-18
734,10387,1,25-10-18
745,10387,9,25-10-18
736,10388,2,22-10-18
737,10388,4,25-10-18
818,10388,9,29-10-18
738,10389,1,25-10-18
740,10389,4,25-10-18
973,10389,9,08-11-18
746,10390,1,22-10-18
806,10390,4,29-10-18
921,10390,1,02-11-18
932,10390,4,02-11-18
1136,10390,9,19-11-18
747,10391,1,23-10-18
815,10391,4,29-10-18
856,10391,1,30-10-18
859,10391,3,31-10-18
1048,10391,4,13-11-18
1332,10391,9,04-12-18
754,10392,2,25-10-18
803,10392,1,29-10-18
994,10392,9,08-11-18
755,10393,2,25-10-18
783,10393,1,26-10-18
813,10393,9,29-10-18
756,10394,2,25-10-18
771,10394,9,25-10-18
757,10395,1,24-10-18
758,10395,2,25-10-18
801,10395,1,29-10-18
860,10395,9,31-10-18
759,10396,1,23-10-18
760,10396,4,25-10-18
802,10396,1,29-10-18
872,10396,3,01-11-18
877,10396,1,01-11-18
934,10396,9,02-11-18
761,10397,1,25-10-18
764,10397,3,25-10-18
797,10397,9,29-10-18
762,10398,2,25-10-18
781,10398,1,26-10-18
811,10398,9,29-10-18
763,10399,2,25-10-18
782,10399,1,26-10-18
812,10399,9,29-10-18
765,10400,1,24-10-18
1063,10400,3,14-11-18
1114,10400,9,16-11-18
766,10401,1,25-10-18
824,10401,9,30-10-18
767,10402,1,24-10-18
915,10402,9,02-11-18
768,10403,1,25-10-18
871,10403,9,31-10-18
769,10404,1,25-10-18
770,10404,9,25-10-18
772,10405,1,24-10-18
844,10405,9,30-10-18
776,10406,1,18-10-18
804,10406,3,29-10-18
931,10406,4,02-11-18
937,10406,9,05-11-18
777,10407,1,24-10-18
834,10407,4,30-10-18
864,10407,1,31-10-18
943,10407,9,05-11-18
778,10408,1,25-10-18
779,10408,4,26-10-18
1341,10408,9,05-12-18
784,10409,1,26-10-18
814,10409,4,29-10-18
874,10409,9,01-11-18
787,10410,1,24-10-18
788,10410,9,26-10-18
790,10411,1,19-10-18
791,10411,9,26-10-18
792,10412,1,24-10-18
794,10412,4,29-10-18
1195,10412,1,21-11-18
1196,10412,3,21-11-18
1248,10412,9,23-11-18
822,10413,1,29-10-18
823,10413,9,30-10-18
831,10414,1,29-10-18
1239,10414,3,23-11-18
1260,10414,9,26-11-18
832,10415,1,29-10-18
916,10415,4,02-11-18
1065,10415,1,14-11-18
1083,10415,4,15-11-18
1128,10415,1,19-11-18
1132,10415,3,19-11-18
1139,10415,4,19-11-18
1140,10415,3,19-11-18
1163,10415,4,20-11-18
1288,10415,9,28-11-18
835,10416,1,25-10-18
855,10416,4,30-10-18
900,10416,9,01-11-18
836,10417,2,30-10-18
838,10417,1,30-10-18
866,10417,9,31-10-18
837,10418,2,30-10-18
839,10418,1,30-10-18
865,10418,9,31-10-18
840,10419,2,30-10-18
843,10419,9,30-10-18
841,10420,2,30-10-18
845,10420,9,30-10-18
842,10421,2,30-10-18
849,10421,1,30-10-18
867,10421,9,31-10-18
847,10422,2,30-10-18
850,10422,1,30-10-18
868,10422,9,31-10-18
848,10423,2,30-10-18
851,10423,4,30-10-18
978,10423,9,08-11-18
853,10424,1,25-10-18
854,10424,4,30-10-18
1029,10424,1,12-11-18
1068,10424,4,14-11-18
1137,10424,1,19-11-18
1141,10424,9,19-11-18
857,10425,1,29-10-18
911,10425,9,02-11-18
858,10426,1,30-10-18
910,10426,9,02-11-18
873,10427,1,31-10-18
902,10427,4,01-11-18
1051,10427,1,13-11-18
1194,10427,3,21-11-18
1249,10427,4,23-11-18
1370,10427,1,07-12-18
1408,10427,9,12-12-18
875,10428,2,01-11-18
876,10428,4,01-11-18
880,10428,9,01-11-18
878,10429,1,31-10-18
879,10429,9,01-11-18
881,10430,1,31-10-18
882,10430,4,01-11-18
920,10430,1,02-11-18
929,10430,4,02-11-18
998,10430,1,09-11-18
1043,10430,3,12-11-18
1261,10430,9,26-11-18
883,10431,1,31-10-18
885,10431,4,01-11-18
919,10431,1,02-11-18
1037,10431,3,12-11-18
1129,10431,9,19-11-18
1130,10431,1,19-11-18
1145,10431,9,19-11-18
886,10432,2,01-11-18
890,10432,1,01-11-18
930,10432,9,02-11-18
887,10433,2,01-11-18
891,10433,1,01-11-18
928,10433,9,02-11-18
888,10434,2,01-11-18
892,10434,4,01-11-18
927,10434,9,02-11-18
889,10435,2,01-11-18
896,10435,1,01-11-18
926,10435,9,02-11-18
893,10436,2,01-11-18
903,10436,1,01-11-18
961,10436,9,07-11-18
894,10437,1,24-10-18
895,10437,4,01-11-18
1054,10437,1,13-11-18
1057,10437,3,13-11-18
1062,10437,9,14-11-18
897,10439,1,31-10-18
936,10439,4,02-11-18
958,10439,1,07-11-18
965,10439,4,07-11-18
1000,10439,1,09-11-18
1004,10439,3,09-11-18
1250,10439,4,23-11-18
1438,10439,1,12-12-18
1447,10439,9,13-12-18
898,10440,2,01-11-18
905,10440,9,01-11-18
899,10441,2,01-11-18
906,10441,1,01-11-18
925,10441,9,02-11-18
907,10442,1,01-11-18
908,10442,4,01-11-18
914,10442,1,02-11-18
1383,10442,9,11-12-18
909,10443,1,01-11-18
996,10443,9,09-11-18
912,10444,1,31-10-18
913,10444,4,02-11-18
1214,10444,9,22-11-18
918,10445,1,30-10-18
1010,10445,3,09-11-18
1127,10445,9,19-11-18
923,10446,1,31-10-18
924,10446,4,02-11-18
933,10446,1,02-11-18
1169,10446,3,20-11-18
1251,10446,4,23-11-18
1257,10446,9,26-11-18
939,10447,1,02-11-18
960,10447,3,07-11-18
1256,10447,9,23-11-18
940,10448,1,29-10-18
947,10448,9,06-11-18
944,10449,1,05-11-18
945,10449,4,05-11-18
1181,10449,1,21-11-18
1210,10449,3,22-11-18
1268,10449,4,26-11-18
